policy_id,company_id,policy_type,coverage_amount,premium_cost,start_date,end_date,company_name,industry,company_size,revenue,location,founded_year,risk_score,score_date,num_claims,avg_claim_amount,last_claim_date,claim_approval_rate
0,0,Cyber,254003.01,12910.0,2021-01-15,2022-01-15,Gray and Sons,Tech,Small,115489335.06,West Lindsey,1985,88.46,2025-03-26,0.0,0.0,2000-01-01,0.0
1,0,Property,1640344.31,10417.13,2021-09-09,2022-09-09,Gray and Sons,Tech,Small,115489335.06,West Lindsey,1985,88.46,2025-03-26,0.0,0.0,2000-01-01,0.0
2,0,Property,4547075.72,5361.2,2022-03-20,2023-03-20,Gray and Sons,Tech,Small,115489335.06,West Lindsey,1985,88.46,2025-03-26,0.0,0.0,2000-01-01,0.0
3,1,Property,2110876.32,15233.25,2023-11-22,2024-11-21,"Nguyen, Young and Hughes",Healthcare,Small,238171433.54,West Donaldmouth,1967,83.91,2025-04-06,0.0,0.0,2000-01-01,0.0
4,1,Cyber,1221111.01,2001.11,2021-11-08,2022-11-08,"Nguyen, Young and Hughes",Healthcare,Small,238171433.54,West Donaldmouth,1967,83.91,2025-04-06,0.0,0.0,2000-01-01,0.0
5,1,Property,1519782.12,3643.82,2022-01-24,2025-01-23,"Nguyen, Young and Hughes",Healthcare,Small,238171433.54,West Donaldmouth,1967,83.91,2025-04-06,0.0,0.0,2000-01-01,0.0
6,2,Liability,4655518.5,16258.35,2020-04-14,2023-04-14,Singh Inc,Tech,Large,220938212.83,Chandlerbury,2019,100.0,2025-04-05,0.0,0.0,2000-01-01,0.0
7,2,Home,3203678.41,17493.48,2021-08-06,2023-08-06,Singh Inc,Tech,Large,220938212.83,Chandlerbury,2019,100.0,2025-04-05,3.0,289060.01666666666,2023-07-06,0.6666666666666666
8,2,Liability,4037993.18,4138.12,2020-09-25,2023-09-25,Singh Inc,Tech,Large,220938212.83,Chandlerbury,2019,100.0,2025-04-05,3.0,365756.3866666667,2023-04-06,0.0
9,3,Cyber,4473539.09,11017.17,2020-10-13,2022-10-13,Hicks Ltd,Tech,Large,181604252.84,Bauerport,2004,100.0,2025-04-10,1.0,419326.02,2021-05-18,1.0
10,4,Liability,4056456.76,17973.78,2022-01-03,2025-01-02,Young-Phillips,Tech,Small,51025498.93,West Casey,1961,100.0,2025-04-07,1.0,234877.89,2022-01-14,0.0
11,5,Auto,1658217.03,2646.01,2023-02-01,2025-01-31,Barrett Ltd,Healthcare,Small,47438684.88,Woodsburgh,2014,98.89,2025-03-16,0.0,0.0,2000-01-01,0.0
12,5,Cyber,1216882.3,8828.6,2023-08-24,2024-08-23,Barrett Ltd,Healthcare,Small,47438684.88,Woodsburgh,2014,98.89,2025-03-16,1.0,207994.93,2023-11-18,1.0
13,6,Auto,4108272.35,17284.25,2020-04-25,2023-04-25,Kennedy Group,Manufacturing,Small,38460969.96,South Jacquelineshire,1975,100.0,2025-03-15,1.0,137430.13,2021-06-28,0.0
14,6,Property,134065.44,10459.57,2023-11-29,2024-11-28,Kennedy Group,Manufacturing,Small,38460969.96,South Jacquelineshire,1975,100.0,2025-03-15,1.0,29131.37,2024-03-05,0.0
15,6,Property,2145313.92,4831.1,2021-08-26,2022-08-26,Kennedy Group,Manufacturing,Small,38460969.96,South Jacquelineshire,1975,100.0,2025-03-15,0.0,0.0,2000-01-01,0.0
16,7,Liability,687340.3,7083.5,2020-06-20,2021-06-20,"Olson, Rogers and Briggs",Manufacturing,Medium,434426311.43,East Aaron,1978,100.0,2025-04-11,0.0,0.0,2000-01-01,0.0
17,7,Home,4720257.55,6802.46,2020-08-05,2021-08-05,"Olson, Rogers and Briggs",Manufacturing,Medium,434426311.43,East Aaron,1978,100.0,2025-04-11,1.0,432496.47,2020-08-16,0.0
18,8,Home,2642074.05,14208.87,2020-07-02,2022-07-02,Doyle-Vasquez,Retail,Large,120621887.34,Port Joshua,1985,100.0,2025-03-16,1.0,406637.6,2022-04-21,0.0
19,8,Property,1881785.05,19449.75,2023-08-08,2025-08-07,Doyle-Vasquez,Retail,Large,120621887.34,Port Joshua,1985,100.0,2025-03-16,3.0,425447.1066666667,2025-08-01,0.3333333333333333
20,9,Property,4815991.75,5409.75,2024-03-19,2026-03-19,"Martinez, Chandler and Mejia",Tech,Small,213881410.45,West Haley,2004,100.0,2025-03-16,1.0,384724.72,2025-04-09,1.0
21,9,Property,2536517.68,6367.13,2022-08-19,2025-08-18,"Martinez, Chandler and Mejia",Tech,Small,213881410.45,West Haley,2004,100.0,2025-03-16,0.0,0.0,2000-01-01,0.0
22,9,Property,1495718.42,1219.3,2024-03-16,2025-03-16,"Martinez, Chandler and Mejia",Tech,Small,213881410.45,West Haley,2004,100.0,2025-03-16,0.0,0.0,2000-01-01,0.0
23,10,Auto,3086865.24,10302.24,2023-09-04,2026-09-03,"Brown, Wilson and Murray",Finance,Medium,22925030.3,Johnsonberg,1969,100.0,2025-03-19,0.0,0.0,2000-01-01,0.0
