policy_id,company_id,policy_type,coverage_amount,premium_cost,start_date,end_date
0,0,Cyber,254003.01,12910.0,2021-01-15,2022-01-15
1,0,Property,1640344.31,10417.13,2021-09-09,2022-09-09
2,0,Property,4547075.72,5361.2,2022-03-20,2023-03-20
3,1,Property,2110876.32,15233.25,2023-11-22,2024-11-21
4,1,Cyber,1221111.01,2001.11,2021-11-08,2022-11-08
5,1,Property,1519782.12,3643.82,2022-01-24,2025-01-23
6,2,Liability,4655518.5,16258.35,2020-04-14,2023-04-14
7,2,Home,3203678.41,17493.48,2021-08-06,2023-08-06
8,2,Liability,4037993.18,4138.12,2020-09-25,2023-09-25
9,3,Cyber,4473539.09,11017.17,2020-10-13,2022-10-13
10,4,Liability,4056456.76,17973.78,2022-01-03,2025-01-02
11,5,Auto,1658217.03,2646.01,2023-02-01,2025-01-31
12,5,Cyber,1216882.3,8828.6,2023-08-24,2024-08-23
13,6,Auto,4108272.35,17284.25,2020-04-25,2023-04-25
14,6,Property,134065.44,10459.57,2023-11-29,2024-11-28
15,6,Property,2145313.92,4831.1,2021-08-26,2022-08-26
16,7,Liability,687340.3,7083.5,2020-06-20,2021-06-20
17,7,Home,4720257.55,6802.46,2020-08-05,2021-08-05
18,8,Home,2642074.05,14208.87,2020-07-02,2022-07-02
19,8,Property,1881785.05,19449.75,2023-08-08,2025-08-07
20,9,Property,4815991.75,5409.75,2024-03-19,2026-03-19
21,9,Property,2536517.68,6367.13,2022-08-19,2025-08-18
22,9,Property,1495718.42,1219.3,2024-03-16,2025-03-16
23,10,Auto,3086865.24,10302.24,2023-09-04,2026-09-03
24,10,Liability,352245.88,5933.61,2023-03-20,2024-03-19
25,11,Property,4550502.84,5171.46,2022-07-07,2023-07-07
26,12,Liability,809984.87,10044.33,2021-10-05,2023-10-05
27,13,Liability,4929687.23,5220.08,2024-02-08,2025-02-07
28,13,Liability,3393464.18,15351.58,2023-10-23,2024-10-22
29,13,Cyber,1264423.97,14700.22,2023-05-30,2026-05-29
30,14,Auto,1902137.35,12829.96,2021-05-07,2022-05-07
31,14,Cyber,3204295.58,10947.61,2021-08-19,2024-08-18
32,15,Auto,542419.87,16788.4,2022-05-10,2023-05-10
33,15,Home,1671822.32,4137.11,2022-04-26,2024-04-25
34,16,Home,299798.19,12022.41,2021-08-28,2023-08-28
35,16,Cyber,3420065.37,823.46,2023-02-27,2026-02-26
36,16,Cyber,2609255.99,4916.67,2020-11-23,2023-11-23
37,17,Auto,3261346.67,3900.15,2021-06-07,2022-06-07
38,17,Home,3485594.92,8041.34,2023-02-26,2024-02-26
39,17,Auto,4689976.94,3181.66,2022-11-11,2025-11-10
40,18,Property,1771225.12,2712.73,2023-07-30,2026-07-29
41,18,Cyber,4630998.73,17608.12,2020-09-08,2021-09-08
42,19,Liability,1363913.98,13369.69,2021-08-12,2022-08-12
43,20,Liability,4104388.78,11326.42,2021-05-29,2022-05-29
44,20,Home,2695287.83,5216.12,2021-03-06,2022-03-06
45,21,Liability,556203.56,17995.71,2022-11-08,2023-11-08
46,21,Cyber,4512048.48,12845.48,2020-07-07,2023-07-07
47,21,Home,1761245.98,7309.59,2023-09-15,2026-09-14
48,22,Home,3657182.83,17993.65,2022-03-04,2023-03-04
49,23,Home,4446723.48,15707.57,2023-11-05,2024-11-04
50,23,Liability,3245955.07,2140.73,2024-01-23,2027-01-22
51,24,Home,891980.7,18021.81,2020-04-27,2023-04-27
52,24,Home,3071502.39,679.34,2023-08-13,2025-08-12
53,25,Cyber,597210.56,13438.28,2024-01-17,2025-01-16
54,25,Cyber,124801.76,3635.76,2020-04-15,2021-04-15
55,25,Home,2788795.57,13991.96,2021-04-07,2022-04-07
56,26,Liability,3294610.17,4873.25,2021-03-04,2023-03-04
57,26,Home,3589678.18,5126.36,2024-01-22,2025-01-21
58,27,Home,1694458.52,15056.58,2022-04-18,2025-04-17
59,28,Liability,3283201.21,17059.86,2024-02-17,2026-02-16
60,28,Liability,3322303.17,11582.02,2021-09-30,2022-09-30
61,29,Property,559006.36,7670.46,2024-04-01,2027-04-01
62,29,Property,1399491.6,5257.8,2022-02-22,2024-02-22
63,30,Auto,4867751.72,8165.41,2021-03-15,2022-03-15
64,30,Home,4471028.12,12807.2,2021-10-01,2023-10-01
65,31,Auto,3994575.39,10301.42,2023-12-31,2025-12-30
66,31,Property,2926829.03,10104.1,2021-04-15,2022-04-15
67,31,Liability,1056690.64,14587.82,2021-06-20,2023-06-20
68,32,Cyber,1475784.58,974.16,2023-06-05,2025-06-04
69,32,Property,3262814.25,3953.66,2022-08-06,2025-08-05
70,32,Cyber,4708247.06,19101.61,2021-03-24,2022-03-24
71,33,Liability,4582835.51,7718.09,2022-11-14,2023-11-14
72,33,Cyber,175737.42,18602.21,2021-09-28,2022-09-28
73,33,Property,2198102.33,19349.77,2021-05-19,2022-05-19
74,34,Home,4821737.89,17133.68,2023-03-11,2026-03-10
75,34,Cyber,1542799.57,8009.41,2023-02-02,2025-02-01
76,34,Liability,4270569.69,6679.98,2021-12-29,2022-12-29
77,35,Auto,930514.46,11357.62,2023-01-18,2025-01-17
78,35,Liability,4687158.39,14072.58,2020-06-17,2023-06-17
79,35,Liability,2893299.73,2394.94,2022-10-17,2025-10-16
80,36,Liability,3113535.41,19806.05,2022-10-02,2024-10-01
81,36,Liability,786411.67,10607.43,2020-09-28,2022-09-28
82,36,Home,4399128.05,14944.99,2022-10-21,2025-10-20
