company_id,risk_score,model_version,score_date
0,88.46,v2.0,2025-03-26
1,83.91,v2.0,2025-04-06
2,100.0,v2.0,2025-04-05
3,100.0,v2.0,2025-04-10
4,100.0,v2.0,2025-04-07
5,98.89,v2.0,2025-03-16
6,100.0,v2.0,2025-03-15
7,100.0,v2.0,2025-04-11
8,100.0,v2.0,2025-03-16
9,100.0,v2.0,2025-03-16
10,100.0,v2.0,2025-03-19
11,100.0,v2.0,2025-03-22
12,38.27,v2.0,2025-04-10
13,100.0,v2.0,2025-03-28
14,100.0,v2.0,2025-03-29
15,100.0,v2.0,2025-04-05
16,100.0,v2.0,2025-04-03
17,100.0,v2.0,2025-03-27
18,100.0,v2.0,2025-04-02
19,100.0,v2.0,2025-03-18
20,100.0,v2.0,2025-03-19
21,100.0,v2.0,2025-04-04
22,100.0,v2.0,2025-03-30
23,100.0,v2.0,2025-03-27
24,100.0,v2.0,2025-04-06
25,100.0,v2.0,2025-04-02
26,100.0,v2.0,2025-03-16
27,100.0,v2.0,2025-03-30
28,100.0,v2.0,2025-03-19
29,43.64,v2.0,2025-03-25
30,100.0,v2.0,2025-03-20
31,100.0,v2.0,2025-04-06
32,100.0,v2.0,2025-04-01
33,100.0,v2.0,2025-04-12
34,100.0,v2.0,2025-03-22
35,100.0,v2.0,2025-04-03
36,100.0,v2.0,2025-03-30
37,100.0,v2.0,2025-03-22
38,100.0,v2.0,2025-04-03
39,100.0,v2.0,2025-03-21
40,100.0,v2.0,2025-03-21
41,98.21,v2.0,2025-04-09
42,100.0,v2.0,2025-03-23
43,100.0,v2.0,2025-04-12
44,17.74,v2.0,2025-04-01
45,100.0,v2.0,2025-03-15
46,100.0,v2.0,2025-04-11
47,70.46,v2.0,2025-04-04
48,100.0,v2.0,2025-03-16
49,100.0,v2.0,2025-04-07
50,100.0,v2.0,2025-03-29
51,100.0,v2.0,2025-03-16
52,100.0,v2.0,2025-04-11
53,17.59,v2.0,2025-04-11
54,100.0,v2.0,2025-04-07
55,100.0,v2.0,2025-04-10
56,100.0,v2.0,2025-04-07
57,100.0,v2.0,2025-03-29
58,100.0,v2.0,2025-03-24
59,100.0,v2.0,2025-04-12
60,100.0,v2.0,2025-04-06
61,100.0,v2.0,2025-04-07
62,38.16,v2.0,2025-03-26
63,91.4,v2.0,2025-04-05
64,100.0,v2.0,2025-04-12
65,36.27,v2.0,2025-03-19
66,100.0,v2.0,2025-04-01
67,100.0,v2.0,2025-03-28
68,100.0,v2.0,2025-04-09
69,100.0,v2.0,2025-04-02
70,100.0,v2.0,2025-03-31
71,100.0,v2.0,2025-03-30
72,98.52,v2.0,2025-04-02
73,100.0,v2.0,2025-04-07
74,100.0,v2.0,2025-04-11
75,100.0,v2.0,2025-03-22
76,100.0,v2.0,2025-03-22
77,100.0,v2.0,2025-04-04
78,100.0,v2.0,2025-04-10
79,100.0,v2.0,2025-03-25
80,43.98,v2.0,2025-03-29
81,100.0,v2.0,2025-03-27
82,100.0,v2.0,2025-03-22
83,100.0,v2.0,2025-03-28
84,100.0,v2.0,2025-04-08
85,27.56,v2.0,2025-04-02
86,28.37,v2.0,2025-04-08
87,44.25,v2.0,2025-03-24
88,100.0,v2.0,2025-03-19
89,58.7,v2.0,2025-04-12
90,100.0,v2.0,2025-03-21
91,100.0,v2.0,2025-03-21
92,100.0,v2.0,2025-03-25
93,100.0,v2.0,2025-04-08
94,100.0,v2.0,2025-03-19
95,100.0,v2.0,2025-04-10
96,100.0,v2.0,2025-04-08
97,100.0,v2.0,2025-04-03
98,100.0,v2.0,2025-03-31
99,64.44,v2.0,2025-04-06
